,Country,Region,Population,Area,Net_migration,GDP_per_capita,Literacy_rate,Birthrate,Deathrate,Unemployment_rate,Infant_mortality,GDP,Main_sector
144,Namibia,SUB-SAHARAN AFRICA,2044147,825418,0,7200,84,24.32,18.86,28.1,48.98,14717,Terciario
145,Nauru,OCEANIA,13287,21,0,5000,94.1,24.76,6.7,23,9.95,66,Terciario
146,Nepal,ASIA (EX. NEAR EAST),28287147,147181,0,1400,45.2,30.98,9.31,3.3,66.98,39602,Terciario
147,Netherlands,WESTERN EUROPE,16491461,41526,2.91,28600,99,10.9,8.68,5.1,5.04,471655,Terciario
148,Netherlands Antilles,LATIN AMER. & CARIB,221736,960,-0.41,11400,96.7,14.78,6.45,7.3,10.03,2527,Terciario
149,New Caledonia,OCEANIA,219246,19060,0,15000,91,18.11,5.69,14.7,7.72,3288,Terciario
150,New Zealand,OCEANIA,4076140,268680,4.05,21600,99,13.76,7.53,4.9,5.85,88044,Terciario
151,Nicaragua,LATIN AMER. & CARIB,5570129,129494,-1.22,2300,67.5,24.51,4.45,6.5,29.11,12811,Terciario
152,Niger,SUB-SAHARAN AFRICA,12525094,1267000,-0.67,800,17.6,50.73,20.91,2.6,121.69,10020,Terciario
153,Nigeria,SUB-SAHARAN AFRICA,131859731,923768,0.26,900,68,40.43,16.94,13.4,98.8,118673,Secundario
